Country,Price
Israel,0.05
Kyrgyzstan,0.15
Fiji,0.19
Italy,0.27
Sudan,0.27
Russian Federation,0.29
Moldova,0.32
Bangladesh,0.34
Sri Lanka,0.38
Chile,0.39
France,0.41
Indonesia,0.42
Belarus,0.43
San Marino,0.43
Vietnam,0.49
Algeria,0.51
China,0.52
Samoa,0.56
Pakistan,0.59
Kazakhstan,0.59
Uzbekistan,0.6
Somalia,0.6
Mongolia,0.6
Nepal,0.61
Turkey,0.63
Poland,0.64
Ghana,0.66
India,0.68
Australia,0.7
Libya,0.74
Ukraine,0.75
Tanzania,0.75
Mauritius,0.75
RÃ©union,0.76
Armenia,0.76
Myanmar,0.78
Denmark,0.79
Kuwait,0.81
Mayotte,0.82
Cambodia,0.83
Bhutan,0.83
Haiti,0.85
Nigeria,0.88
Western Sahara,0.88
Morocco,0.88
Malaysia,0.89
Guadeloupe,0.89
Cameroon,0.9
Brazil,0.92
Senegal,0.94
Nicaragua,0.94
Macedonia,0.96
Finland,0.97
Afghanistan,1.02
Egypt,1.04
Ecuador,1.06
Thailand,1.06
Monaco,1.08
Tunisia,1.09
Singapore,1.09
Djibouti,1.12
Zambia,1.13
Iraq,1.14
Peru,1.15
Austria,1.17
Romania,1.18
Iceland,1.23
Spain,1.24
Rwanda,1.25
Tonga,1.28
Niger,1.28
Serbia,1.3
Jersey,1.32
El Salvador,1.33
Lithuania,1.38
Estonia,1.39
Jordan,1.41
United Kingdom,1.42
Ireland,1.42
Sweden,1.45
Guernsey,1.46
Saudi Arabia,1.47
Uruguay,1.51
Dominican Republic,1.51
Iran,1.52
Uganda,1.56
Honduras,1.56
French Guiana,1.58
Angola,1.61
Palau,1.67
Timor-Leste,1.67
Hungary,1.7
"Palestine, State of",1.71
Ethiopia,1.71
Slovenia,1.72
Dominica,1.76
Philippines,1.77
Georgia,1.8
Isle of Man,1.8
Azerbaijan,1.82
Trinidad and Tobago,1.9
Macau,1.93
Guatemala,1.94
Suriname,1.94
Guinea,1.99
American Samoa,2.0
Virgin Islands (U.S.),2.0
Malta,2.01
Burundi,2.1
Bahrain,2.12
Oman,2.12
Montenegro,2.12
Guam,2.14
Northern Mariana Islands,2.15
Bolivia,2.18
Brunei Darussalam,2.23
Eswatini,2.24
Kenya,2.25
Papua New Guinea,2.26
Bulgaria,2.26
Hong Kong,2.3
Croatia,2.35
Costa Rica,2.36
Saint BarthÃ©lemy (St. Barts),2.36
Argentina,2.38
Bosnia and Herzegovina,2.39
Saint Vincent and the Grenadines,2.41
Grenada,2.44
Paraguay,2.53
CÃ´te d'Ivoire,2.58
Liberia,2.59
Tajikistan,2.6
Saint Lucia,2.62
Faroe Islands,2.64
Lesotho,2.66
South Africa,2.67
Jamaica,2.74
Ãland Islands,2.75
Gibraltar,2.78
Mozambique,2.79
Albania,2.8
Colombia,2.8
Congo,2.88
Belize,2.97
Luxembourg,3.0
Liechtenstein,3.1
The Netherlands,3.11
Lao People's Democratic Republic,3.19
Qatar,3.2
Comoros,3.21
Maldives,3.24
Sierra Leone,3.26
Mali,3.28
United States,3.33
Germany,3.38
Japan,3.38
Saint-Martin (France),3.46
Martinique,3.46
Latvia,3.49
Cook Islands,3.5
Slovakia,3.55
Benin,3.61
Mexico,3.62
Saint Kitts and Nevis,3.7
Portugal,3.85
Anguilla,3.85
Botswana,3.92
Greenland,3.97
Puerto Rico,4.0
Montserrat,4.01
Sint Maarten,4.17
French Polynesia,4.2
Guinea-Bissau,4.41
Antigua and Barbuda,4.44
Aruba,4.44
Panama,4.49
Burkina Faso,4.52
Svalbard and Jan Mayen,4.65
Togo,4.69
South Korea,4.72
Cape Verde,4.78
Lebanon,4.81
Gabon,4.82
Madagascar,5.14
Switzerland,5.24
Guyana,5.25
Belgium,5.28
Mauritania,5.56
Taiwan,5.67
Canada,5.72
Norway,5.81
Gambia,5.86
Bahamas,5.98
Vanuatu,6.06
Tuvalu,6.35
CuraÃ§ao,6.47
New Caledonia,6.49
Barbados,6.79
New Zealand,6.99
Syria,7.15
Niue,7.37
Andorra,7.49
Cuba,7.5
British Indian Ocean Territory,7.5
United Arab Emirates,7.62
Nauru,7.62
Solomon Islands,7.83
Micronesia (Federated States of),7.85
Turks and Caicos Islands,8.0
Czech Republic,8.15
Greece,8.16
Seychelles,8.64
Cyprus,8.84
Central African Republic,9.03
Virgin Islands (British),9.54
Kiribati,9.94
Caribbean Netherlands,10.94
Cayman Islands,11.97
Cocos (Keeling) Islands,13.47
Yemen,15.98
Bermuda,19.8
Tokelau,20.48
Turkmenistan,21.41
Namibia,22.37
Chad,23.33
Malawi,25.46
SÃ£o TomÃ© and PrÃ­ncipe,30.97
Saint Helena,39.87
Falkland Islands,44.56
Equatorial Guinea,49.67
